code,name,name_ar,account_type,nature,is_active
110001,Cash,الصندوق,asset,debit,true
110002,Bank Account,البنك,asset,debit,true
120001,Customers,العملاء,asset,debit,true
130001,Advances,السلف,asset,debit,true
130003,Cafeteria Deduction Receivable,مستحق خصم البوفية,asset,debit,true
130004,Restaurant Deduction Receivable,مستحق خصم المطعم,asset,debit,true
210001,Salaries Payable,الرواتب المستحقة,liability,credit,true
210002,Overtime Payable,مستحقات الإضافي,liability,credit,true
220001,Suppliers,الدائنون - موردين,liability,credit,true
220002,Tax Payable,ضريبة مستحقة,liability,credit,true
220003,Zakat Payable,زكاة مستحقة,liability,credit,true
220006,Cafeteria Supplier,دائن البوفية,liability,credit,true
220007,Restaurant Supplier,دائن المطعم,liability,credit,true
221001,Clothing Allowance Payable,مستحق بدل ملابس العمال,liability,credit,true
221002,Health Cards Payable,مستحق بطائق صحية للعمال,liability,credit,true
221003,Insurance Payable,مستحق تأمين العمال,liability,credit,true
230001,Accrued Revenue,إيرادات مستحقة,liability,credit,true
310001,Capital,رأس المال,equity,credit,true
320001,Retained Earnings,الأرباح المحتجزة,equity,credit,true
410001,Annual Contract Revenue,إيرادات العقود السنوية,revenue,credit,true
410002,Monthly Contract Revenue,إيرادات العقود الشهرية,revenue,credit,true
410003,Quarterly Contract Revenue,إيرادات العقود الربع سنوية,revenue,credit,true
410004,Additional Invoices Revenue,إيرادات الفواتير الإضافية,revenue,credit,true
411001,Contractor Profit,ربح المتعهد,revenue,credit,true
510001,Salaries Expense,مصروف الرواتب,expense,debit,true
510002,Deductions Expense,مصروف الخصومات والجزاءات,expense,debit,true
510003,Overtime Expense,مصروف الإضافي,expense,debit,true
511001,Labor Basic Salary,مصروف رواتب العمال الأساسية,expense,debit,true
511002,Labor Resident Allowance,مصروف بدل سكن العمال,expense,debit,true
511003,Labor Insurance,مصروف تأمين العمال,expense,debit,true
511004,Labor Clothing Allowance,مصروف بدل ملابس العمال,expense,debit,true
511005,Labor Health Cards,مصروف بطائق صحية للعمال,expense,debit,true
511009,Cafeteria Expense,مصروف وجبات البوفية للعمال,expense,debit,true
511010,Restaurant Expense,مصروف وجبات المطعم للعمال,expense,debit,true
520001,Company Services Expense,مصروف خدمات الشركات,expense,debit,true
521001,Contractor Tax,مصروف ضريبة المتعهدين,expense,debit,true
521002,Contractor Zakat,مصروف زكاة المتعهدين,expense,debit,true
530001,Utilities Expense,كهرباء وماء,expense,debit,true
530002,Rent Expense,إيجار,expense,debit,true
530003,Office Supplies,مستلزمات مكتبية,expense,debit,true
530004,Equipment Expense,معدات وأدوات,expense,debit,true
530005,General Expense,مصروفات عامة,expense,debit,true
